source_role,period,place_name,lat,lon,n_reviews,negative,positive,dominant_sentiment,sentiment_source,rentang_tanggal,place_id,avg_confidence_model
training_eda,2021-08,Mie Ayam Pak Marso,-7.423968000000001,109.236043,6,1,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-08,Mie Ayam Pak Kumis,-7.4120193,109.2451626,4,1,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Mbak Kimun,-7.431097,109.2564693,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Tanjlig,-7.4164092,109.2294025,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Pak Marso,-7.423968000000001,109.236043,6,0,6,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Ma-Dyang,-7.4207155,109.2595639,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Mie Ayam Pak Kumis,-7.4120193,109.2451626,3,1,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-09,Bakso Kota Cak Man,-7.4257816,109.2301284,2,1,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Pak Toro,-7.4223209,109.22810399999999,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Mbak Kimun,-7.431097,109.2564693,4,1,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-10,Mie Ayam Tanjlig,-7.4164092,109.2294025,8,0,8,Positif,EDA/labeler all_platforms,,,
