layer,month,week,rentang_tanggal,place_name,lat,lon,n_reviews,positive,negative,dominant_sentiment,aspect_summary
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Nyak Dien,-7.4177608,109.2533294,5,5,0,Positif,rasa enak
testing_apr_jun,5,2,08-14 Mei 2026,"Mie Ayam Racikan Ibu Purwokerto ( Enak, Bar-bar & Higienis )",-7.4194958,109.2290133,1,0,1,Negatif,pelayanan lama/kurang
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Bumiayu Pak Tomo,-7.4224605,109.2394877,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Pak Toro,-7.4223209,109.228104,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie ayam kaisar,-7.415882,109.2326629,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Pak Marso,-7.423968,109.236043,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Pak Kumis Asli Bumiayu,-7.4002193,109.2445157,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Ijo Bpk. Sabar,-7.4235896,109.2391104,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Tanjlig,-7.4164092,109.2294025,1,1,0,Positif,rasa enak
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Tipar,-7.427217,109.2351073,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Deddy,-7.4301934,109.2559782,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam & Bakso WE-TAN,-7.4157893,109.2637874,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,"Mie Ayam ""We-Tan""2",-7.4502034,109.2429061,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,MieAgo,-7.4082968,109.2749709,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Mame,-7.4228848,109.240767,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Kamandaka,-7.409301,109.2174523,1,1,0,Positif,"porsi cukup/banyak, harga terjangkau"
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,5,2,08-14 Mei 2026,Mie Ayam Rendang N3,-7.4167709,109.1995474,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
